id,amount,sold_on,fvf,source_em
53345881,14.39,4/11/18 9:55,1.94,8
53346204,37.35,4/11/18 10:17,2.62,8
53346263,98.4,4/12/18 10:11,6.73,8
53347042,178.7,4/11/18 12:12,10.78,8
53347284,68.13,4/11/18 12:32,9.32,8
53347547,70.3,4/11/18 11:45,3.99,8
53348083,74.7,4/11/18 12:17,4.1,8
53348087,74.7,4/11/18 12:20,5.11,8
53348359,75.6,4/11/18 12:40,0,8
53349139,132.77,4/11/18 13:33,13.13,4
53350373,37.35,4/11/18 14:34,2.66,8
53351735,70.15,4/12/18 14:48,4.8,8
53351785,75.5,4/11/18 16:08,4.14,8
53352038,74.7,4/11/18 16:44,4.64,8
53353120,65.6,4/12/18 4:32,4.49,8
53354311,65.6,4/11/18 18:36,4.66,8
53355973,32.8,4/11/18 20:13,1.95,8
53356091,32.8,4/11/18 20:15,1.8,4
53356130,65.6,4/12/18 12:00,3.9,4
53358227,65.6,4/11/18 23:00,3.6,8
53359705,70.4,4/12/18 1:51,4.56,8
53361771,183,4/12/18 5:30,12.19,8
53361938,32.9,4/12/18 5:37,1.9,8
53362300,178.2,4/12/18 6:11,12.35,8
53362361,37.5,4/12/18 6:30,2.16,8
53362423,37.5,4/12/18 6:17,2.4,8
53362444,32.8,4/12/18 6:26,2.27,8
53362484,205.9,4/12/18 6:26,14.08,8
53362515,37.35,4/12/18 6:29,2.02,8
53363021,45.99,4/12/18 7:06,4.14,4
53363432,32.8,4/12/18 7:33,2.21,8
53363478,74.7,4/12/18 7:42,5.18,8
53363545,70.4,4/12/18 8:15,3.86,8
53364915,75.5,4/12/18 8:45,4.35,8
53365132,32.8,4/12/18 8:57,1.89,8
53367077,132.9,4/12/18 9:48,11.96,22
53367155,37.35,4/12/18 9:54,2.35,8
53367773,32.8,4/12/18 10:33,1.95,8
53367955,29.85,4/12/18 10:48,2.95,3
53368001,37.5,4/12/18 10:49,2.36,8
53368022,32.8,4/12/18 10:59,2.33,8
53368317,70.15,4/12/18 11:11,6.31,22
53369171,174.9,4/12/18 12:14,12.44,8
53369374,229.95,4/12/18 12:31,20.7,8
53370574,37.5,4/12/18 13:38,3.38,22
53371576,44.54,4/12/18 14:48,5.79,8
53371970,511.4,4/12/18 15:27,27.62,8
53372296,103.5,4/12/18 15:31,0,8
53372660,37.35,4/12/18 15:55,2.39,8
53372784,103.3,4/12/18 23:51,6.32,8
53372971,145.4,4/12/18 18:21,10.34,8
53373157,32.8,4/12/18 16:24,2.33,4
53374194,70.15,4/14/18 12:14,4.23,8
53374201,102.95,4/12/18 17:44,5.93,8
53375074,178.8,4/12/18 18:19,12.07,8
53375091,65.6,4/12/18 19:18,4.01,8
53376496,434.5,4/12/18 19:51,29.72,8
53376575,45.99,4/12/18 19:51,4.14,8
53381183,48.7,4/13/18 3:08,3.11,8
53381960,32.8,4/13/18 4:35,2.3,8
53382001,75,4/13/18 4:39,5.33,4
53382380,80,4/13/18 5:26,4.46,8
53382832,32.8,4/13/18 6:01,2.3,8
53383432,112.05,4/13/18 6:53,7.26,8
53383571,368,4/13/18 7:05,22.52,4
