id,gmv
32890338,937.02
32998984,110.15
33095969,2034.70
33114096,132.39
33136751,5646.34
33301927,1301.91
33379085,420.48
33381868,261.02
33384825,4193.31
33397719,1078.52
33402012,65.39
33414202,2479.65
33471745,165.29
33511594,487.94
33550546,755.40
33608511,1197.84
33608644,133.99
33634936,350.00
33678564,513.99
33757626,239.80
33776103,698.43
33819713,735.80
33843506,828.43
33864642,159.27
33890910,19.90
33906432,223.70
33924527,117.97
33955448,148.45
34042544,245.50
34096772,79.99
34120076,1356.74
34162433,229.35
34178338,234.51
34223370,812.57
34255023,368.96
34358834,14.30
34359608,41.54
34360987,3.45
34367420,948.65
34478384,136.60
34500521,8168.71
34507771,803.67
34601747,4450.44
34607918,42.46
34644527,135.55
34652592,809.41
34707224,259.97
34716789,841.13
34728352,228.95
34794964,2095.23
34851554,2651.76
34862745,22.43
34941181,370.00
34945648,34.99
35019887,2709.13
35043188,30.00
35103685,4.94
35108966,360.00
35134197,58.00
35135766,262.68
35148469,249.95
35244415,9.99
35266020,805.96
35398372,240.70
35421212,205.00
35463066,2641.44
35479467,97.67
35518909,240.00
35535643,9.85
35539823,5349.86
35543009,41.98
35567804,47.48
35586093,95.60
35638095,624.68
35655628,39.90
35714449,5118.91
35776192,4.99
35814352,29.99
35821624,18.71
35873293,59.40
35910245,139.87
36226408,2713.52
36597119,56.95
