id,user_id,paid_date,amount,type,subscription_term_length,state,is_first_payment,is_last_payment,free_trial,membership_level
2476868,33216303,6/30/18,140,MembershipPayment,12,complete,TRUE,TRUE,FALSE,Silver
2453204,32484928,6/2/18,40,MembershipPayment,1,refunded,TRUE,TRUE,FALSE,Gold
2455091,4375367,6/1/18,24,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2455539,5294371,6/1/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2455594,32615606,6/1/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2455687,32617264,6/1/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2455703,32509348,6/1/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2455817,32613955,6/1/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2455825,26385018,6/1/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2455847,32620756,6/1/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2455871,31702917,6/1/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2455884,32006339,6/1/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2455962,30208255,6/1/18,40,MembershipPayment,1,refunded,FALSE,TRUE,FALSE,Gold
2456032,30503212,6/2/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2456052,31972599,6/2/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
2456058,32016024,6/2/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
2456171,32625470,6/2/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2456352,32391778,6/2/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2456390,32140301,6/2/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2456408,32484928,6/2/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
2456421,32627737,6/2/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2456436,32576934,6/2/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2456440,32630183,6/2/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2456449,28807005,6/2/18,290,MembershipPayment,12,refunded,TRUE,TRUE,FALSE,Gold
2456450,32623224,6/2/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2456535,32628654,6/2/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2456574,32636586,6/2/18,290,MembershipPayment,12,refunded,TRUE,TRUE,FALSE,Gold
2456607,32637817,6/3/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2456624,31444464,6/3/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2456629,30355119,6/3/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
2456637,32039438,6/3/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
2456667,32624957,6/3/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2456686,3478281,6/3/18,40,MembershipPayment,1,complete,FALSE,TRUE,TRUE,Gold
2456893,32641642,6/3/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2456937,32643661,6/3/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2456969,32149858,6/3/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2457011,30056712,6/3/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2457041,32648505,6/3/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2457209,24900330,6/4/18,40,MembershipPayment,1,refunded,FALSE,TRUE,FALSE,Gold
2457210,24781306,6/4/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2457244,29161797,6/4/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2457245,29161254,6/4/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2457248,29194486,6/4/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2457258,30418209,6/4/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2457268,15390691,6/4/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2457270,31483214,6/4/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2457283,32423861,6/4/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2457314,32572921,6/4/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2457319,32655465,6/4/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2457415,32558450,6/4/18,40,MembershipPayment,1,refunded,TRUE,TRUE,FALSE,Gold
2457436,32655711,6/4/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
2457607,32511191,6/4/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
2457706,32650032,6/4/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2457889,13645874,6/4/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2457892,31978974,6/4/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2457913,32675548,6/4/18,290,MembershipPayment,12,refunded,TRUE,TRUE,FALSE,Gold
2457933,32420304,6/4/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2457948,32654321,6/4/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2458014,29880893,6/5/18,40,MembershipPayment,1,refunded,FALSE,TRUE,FALSE,Gold
2458019,32074763,6/5/18,40,MembershipPayment,1,refunded,TRUE,TRUE,FALSE,Gold
2458023,12561774,6/5/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2458647,32686339,6/5/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2462956,31497412,6/5/18,290,MembershipPayment,12,refunded,FALSE,TRUE,FALSE,Gold
2464710,19361579,6/5/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
2465834,26493203,6/5/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
2465843,32651679,6/5/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2465975,30462486,6/6/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2466019,32620748,6/6/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2466029,32715694,6/6/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2466052,32302027,6/6/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2466105,31308365,6/6/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2466129,32470017,6/6/18,40,MembershipPayment,1,refunded,TRUE,TRUE,FALSE,Gold
2466296,22516006,6/6/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
2466325,32724742,6/6/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2466357,31266922,6/6/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2466439,10883698,6/6/18,40,MembershipPayment,1,refunded,FALSE,TRUE,FALSE,Gold
2466459,7303801,6/6/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2466469,31497412,6/7/18,290,MembershipPayment,12,complete,FALSE,TRUE,FALSE,Gold
2466491,32740106,6/6/18,290,MembershipPayment,12,refunded,TRUE,TRUE,FALSE,Gold
2466545,10745516,6/7/18,290,MembershipPayment,12,complete,FALSE,TRUE,FALSE,Gold
2466565,27362982,6/7/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2466567,27997728,6/7/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2466575,683899,6/7/18,40,MembershipPayment,1,refunded,FALSE,TRUE,FALSE,Gold
2466583,29927765,6/7/18,40,MembershipPayment,1,refunded,FALSE,TRUE,FALSE,Gold
2466588,13539242,6/7/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2466603,32743925,6/7/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2466716,32367366,6/7/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2466721,28337700,6/7/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2466752,32647285,6/7/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2466778,32488579,6/7/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2466781,32752999,6/7/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2466888,32759242,6/7/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2466944,31390172,6/7/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2466949,32762426,6/7/18,290,MembershipPayment,12,refunded,TRUE,TRUE,FALSE,Gold
2466953,32764170,6/7/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2466979,30767028,6/7/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2466985,32769275,6/7/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2467003,32767356,6/7/18,290,MembershipPayment,12,refunded,TRUE,TRUE,FALSE,Gold
2467009,32351799,6/7/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2467019,19027155,6/8/18,290,MembershipPayment,12,refunded,FALSE,TRUE,FALSE,Gold
2467034,30472667,6/8/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2467049,31985672,6/8/18,40,MembershipPayment,1,refunded,TRUE,TRUE,FALSE,Gold
2467054,31774820,6/8/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
2467080,29794119,6/8/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2467124,32740106,6/8/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
2467140,32781426,6/8/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2467178,32767356,6/8/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
2467196,32462417,6/8/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2467253,24165253,6/8/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
