id,https://www.bonanza.com/booths/,booth_id,seller_id,featured_category_id,profit_estimate,value_em,created_at,first_sale,DaysToSale,Days as User,profit_per_day,orders,d_per_order,source_em,city,state,country,items_for_sale,view_count,offers,conversion_rate,membership_level,feedback,rate,rating
645026,https://www.bonanza.com/booths/2799263,127664,645026,11700,1208.79,MINNOW,9/10/2010,2010-10-26,46,"3,021",$0.29,108,$8.11,,Auburn,WA,US,132,261,2,0.23%,1,5.00,11%,4.60
25476547,https://www.bonanza.com/booths/3506178,3506178,25476547,64482,111.55,MINNOW,2/19/2014,2014-02-22,3,"1,763",$0.06,42,$2.66,16,Pittsburgh,PA,US,129,117,4,3.42%,0,3.00,7%,3.67
35602358,https://www.bonanza.com/booths/2875882,4651830,35602358,0,-7.33,MINNOW,11/5/2018,2018-12-04,29,43,$29.85,7,$3.35,0,St. Clements,St Saviour,JE,3,383,7,4.69%,0,0.00,4%,NULL
16289563,https://www.bonanza.com/booths/2746045,2746045,16289563,26395,178,MINNOW,6/5/2015,2015-06-25,20,"1,292",$0.14,101,$1.76,3,Danbury,Connecticut,US,69,72,0,0.00%,0,3.00,3%,3.67
28737661,https://www.bonanza.com/booths/4053627,3896165,28737661,281,48.39,SEA_BASS,11/8/2017,2017-11-18,10,405,$0.05,67,$1.00,17,Oklahoma CIty,OK,US,292,363,10,1.37%,0,6.00,0%,4.83
5076593,https://www.bonanza.com/booths/970263,970263,5076593,0,334.73,MINNOW,5/13/2014,2014-06-08,26,"1,680",$0.20,38,$8.81,,Siauliai,Šiauliai County,LT,2,41,0,0.00%,0,5.00,13%,3.80
27331642,https://www.bonanza.com/booths/3735093,3735093,27331642,11700,366.18,DOLPHIN,7/25/2014,2014-07-28,3,"1,607",$0.23,15,$24.41,7,Granadilla De Abona,Santa Cruz De Tenerife,ES,430,1343,2,0.15%,0,1.00,7%,1.00
11242583,https://www.bonanza.com/booths/2109138,2109138,11242583,0,102.72,SEA_BASS,6/15/2017,2017-09-04,81,551,$0.19,214,$0.48,,Cypress,TX,US,3,4,0,0.00%,0,17.00,8%,4.06
19381214,https://www.bonanza.com/booths/2929439,2929439,19381214,0,54.21,MINNOW,6/3/2014,2014-06-04,1,"1,659",$0.03,37,$1.47,4,Pittsburg,KS,US,527,417,2,0.48%,0,3.00,8%,5.00
1318581,https://www.bonanza.com/booths/279134,279134,1318581,11450,58.31,MINNOW,12/27/2015,2016-01-06,10,"1,087",$0.05,181,$0.32,4,Brooklyn,NY,US,258,226,5,2.21%,0,3.00,2%,3.67
