seller_id,entry_source_em,profit_estimate,value_em,fees_paid,membership_paid
10513495,4,11.96,0,22.38,0
35752852,4,0,0,0,0
35463739,4,0,0,0,0
36403073,4,-19.18,0,0,0
36862644,4,0,0,0,0
36617007,4,0,0,0,0
35973344,4,0,0,0,0
34808269,4,0,0,0,0
34833233,4,-0.1,0,0,0
34442671,4,-0.06,0,0,0
35681492,4,60,0,0,60
26175939,4,38.97,0,0,40
35638420,4,-0.05,0,0,0
35677532,4,0,0,0,0
36782642,4,0,0,0,0
35784624,4,0,0,0,0
36432655,4,-1.51,0,0,0
36275777,4,0,0,0,0
34409558,4,-1.76,0,0,0
34875973,4,-0.09,0,0,0
34657446,4,0,0,0,0
36338949,4,0,0,0,0
35948365,4,-1.35,0,0,0
36821351,4,0,0,0,0
35816522,4,0,0,0,0
36531310,4,0,0,0,0
36336101,4,-53.28,2,0,0
35164330,4,-0.62,0,0,0
36568283,4,0,0,0,0
36309028,4,0,0,0,0
36576237,4,0,0,0,0
35479718,4,-0.03,0,0,0
36436363,4,-1.49,0,0,0
36207860,4,0,0,0,0
36844036,4,0,0,0,0
36823413,4,0,0,0,0
35929727,4,-0.08,0,0,0
36242015,4,-0.02,0,0,0
34898631,4,-0.01,0,0,0
36793612,4,0,0,0,0
36018121,4,-12.16,0,0,0
34494052,4,-0.2,0,0,0
36537616,4,0,0,0,0
35871809,4,-0.05,0,0,0
36725773,4,0,0,0,0
35074748,4,-0.02,0,0,0
35727673,4,0,0,0,0
35811466,4,0,0,0,0
34567325,4,0,0,0,0
35890549,4,5.38,0,3.2,0
34102437,4,0,0,0,0
36674916,4,-0.01,0,0,0
36924978,4,0,0,0,0
36102353,4,-0.01,0,0,0
36746663,4,0,0,0,0
36713737,4,0,0,0,0
35766507,4,-0.9,0,0,0
36279389,4,0,0,0,0
35539944,4,-1.73,0,0,0
36855911,4,0,0,0,0
34943198,4,262.7,2,299.49,0
35069773,4,-0.37,0,0,0
35867672,4,0,0,0,0
35635373,4,0,0,0,0
35765254,4,0,0,0,0
36742291,4,0,0,0,0
36512740,4,-0.01,0,0,0
35222878,4,-0.07,0,0,0
35519340,4,-14.7,0,0.85,0
36887225,4,0,0,0,0
34626561,4,0,0,0,0
36816023,4,0,0,0,0
35474821,4,0,0,0,0
33108290,4,0.76,0,46.05,0
34510861,4,0,0,0,0
36005453,4,-0.15,0,0,0
36093065,4,-0.03,0,0,0
34599995,4,-0.08,0,0,0
34776325,4,0,0,0,0
35667766,4,0,0,0,0
36330965,4,70.28,1,118.6,0
34598677,4,0.23,0,0,0
34411976,4,-0.05,0,0,0
36399768,4,9.07,1,7.2,0
35608971,4,0,0,0,0
35222168,4,-0.05,0,0,0
36276791,4,-0.02,0,0,0
35107284,4,-18.78,0,8.33,0
35436544,4,-1.05,0,11.97,0
36366404,4,5.96,0,8.59,0
36605135,4,0,0,0,0
36445812,4,0,0,0,0
34373841,4,0,0,0,0
36102956,4,0,0,0,0
34767363,4,1.47,0,5.31,0
34901124,4,-0.16,0,0,0
35076974,4,-4.27,0,0,0
34656516,4,24.14,0,33.4,0
36471452,4,0,0,0,0
34390639,4,0,0,0,0
36360751,4,0,0,0,0
35651766,4,-0.19,0,0,0
35114043,4,0,0,0,0
36793342,4,0,0,0,0
36658674,4,0,0,0,0
28884136,4,16.85,0,18.55,0
34389636,4,0,0,0,0
36341190,4,0,0,0,0
34554614,4,-0.66,0,0,0
35195666,4,0,0,0,0
34753246,4,0,0,0,0
35594587,4,0,0,0,0
36290269,4,0,0,0,0
35358984,4,-0.06,0,0,0
36809887,4,-0.02,0,0,0
35821951,4,0,0,0,0
36811096,4,0,0,0,0
34808810,4,-0.12,0,0,0
34650170,4,0,0,0,0
35186306,4,9.84,0,9.48,0
36613125,4,-0.08,0,0,0
35725841,4,26.65,2,43.2,0
35379007,4,0,0,0,0
36661923,4,0,0,0,0
34769809,4,0,0,0,0
34507613,4,65.31,0,4.71,80
36322191,4,-0.21,0,0,0
36061623,4,0,0,0,0
34486115,4,0,0,0,0
35711955,4,0,0,0,0
35794654,4,-0.1,0,0,0
36208732,4,0,0,0,0
36076994,4,0,0,0,0
36807276,4,-1.81,0,0,0
35687465,4,-0.03,0,0,0
36696834,4,0,0,0,0
34545527,4,-0.07,0,0,0
35290123,4,-0.11,0,0,0
35873099,4,0,0,0,0
34944919,4,-0.1,0,0,0
36689465,4,0,0,0,0
34721828,4,0,0,0,0
35177063,4,0,0,0,0
35894895,4,0,0,0,0
35434443,4,0,0,0,0
35340197,4,0,0,0,0
36936208,4,0,0,0,0
35578445,4,0,0,0,0
36057487,4,39.99,0,0,40
35525196,4,0,0,0,0
36562206,4,0,0,0,0
35757872,4,0,0,0,0
34438630,4,-0.23,0,0,0
34090888,4,4.29,0,4.31,0
34526755,4,0,0,0,0
36805385,4,0,0,0,0
34507135,4,-0.2,0,0,0
35672661,4,0,0,0,0
36605840,4,0,0,0,0
36088602,4,0,0,0,0
