seller_id,entry_source_em,profit_estimate,value_em,fees_paid,membership_paid
27132681,,0,0,0,0
27152698,8,4.67,0,3.18,0
27156961,7,33.12,0,23.5,0
27205185,8,-32.42,0,0,0
27237530,,-4,0,0,0
27253430,,0,0,0,0
27325164,,3.88,0,3.25,0
27332520,,0,0,0,0
27341904,,0,0,0,0
27353950,3,-2.09,0,0,0
27391373,,3.75,0,1.76,0
27430480,,0,0,0,0
27489158,,-0.02,0,0,0
27525727,4,-0.83,0,0,0
27634623,0,0,0,0,0
27730125,,-0.21,0,0,0
34161310,6,292.85,0,3.85,290
27763483,3,4.17,0,13.38,0
27773259,,0,0,0,0
27834897,,21.31,2,19.48,0
27889477,2,10.73,0,8.25,0
27934947,,1748.17,3,2015.81,0
27954572,,-0.04,0,0,0
33877033,6,289.69,0,0,290
28017061,,-0.21,0,0,0
28066489,,1.85,0,6.66,0
28131284,0,-1,0,0,0
28239536,,0,0,0,0
28251732,4,0,0,0,0
28291002,8,0,0,0,0
28291791,,72.45,1,69.6,0
28294698,,14.12,0,12.64,0
28302584,5,0,0,0,0
28308615,,0,0,0,0
28383829,4,-0.2,0,0,0
28403050,,0,0,0,0
28500480,7,0,0,0,0
28512959,0,-0.14,0,0,0
28525118,,0,0,0,0
28535794,,6.83,0,6.71,0
28545747,,5.5,0,7.15,0
28595572,0,0,0,0,0
28597346,,14.3,0,17.84,0
28637570,,-0.05,0,0,0
28717917,,0,0,0,0
28781285,,-0.41,0,0,0
28802830,,344.05,1,60.34,290
28834611,26,0,0,0,0
28836239,,-0.24,0,0,0
28860622,,-0.64,0,0,0
28867459,,0,0,0,0
33048675,6,289.49,0,4.45,290
28884136,4,16.85,0,18.55,0
28888897,,0,0,0,0
28899193,,0,0,0,0
28959743,,-1.14,0,0,0
28966355,,0,0,0,0
28993771,0,0,0,0,0
28998525,3,0,0,0,0
28999968,,-0.01,0,0,0
29082252,,0,0,0,0
34013086,6,289.49,0,0,290
29107297,,5.48,0,4.76,0
29125655,,-10.1,0,22.75,0
29156067,,0,0,0,0
29176153,0,0,0,0,0
29202705,,303.98,0,16.28,290
29233624,,186.64,1,70.41,290
32598424,6,287.99,0,0,290
29251784,,2.88,0,60.47,0
29262096,,156.8,2,342.15,0
29276463,-1,-0.63,0,0,0
29286085,0,169.48,1,279.08,40
29332751,,3.46,0,3.6,0
29390731,8,1.59,0,0,0
29400019,,-0.07,0,0,0
29417099,8,-0.01,0,0,0
29504931,,0,0,0,0
29528051,,0,0,0,0
29537292,5,-0.04,0,0,0
29562215,,-7.19,0,4.12,0
29573789,16,0,0,0,0
29576997,0,-0.64,0,0,0
29678727,,0,0,0,0
29755042,,3.66,0,3.73,0
29804244,,0,0,0,0
29819765,,67.16,2,68.79,40
29871757,,2.76,0,3.26,0
29894836,,0.95,0,0,0
29907197,22,0,0,0,0
29952127,,99.08,3,124.08,0
29957156,0,82.61,1,45.2,0
29989999,,0,0,0,0
30047988,3,2.03,0,0,0
30059158,,0,0,0,0
34239680,6,285.69,1,171.94,120
30083823,8,0.66,0,0,0
30090164,22,0,0,0,0
