id,amount,sold_on,fvf,source_em
53177209,68.4,4/3/18 14:53,4.31,8
53177287,30.24,4/3/18 14:56,1.06,2
53177381,34.2,4/3/18 14:58,2.03,8
53177541,43.95,4/3/18 15:10,3.96,8
53178173,43.95,4/3/18 15:49,3.96,8
53178589,32.36,4/3/18 16:10,2.91,8
53178748,24.31,4/3/18 16:18,2.32,8
53178752,8.79,4/3/18 16:24,0.79,8
53178789,34.2,4/3/18 16:52,2.43,8
53179456,34.2,4/3/18 17:03,1.97,8
53179458,32.99,4/3/18 17:00,1.15,4
53179896,12.99,4/3/18 17:25,1.17,8
53180431,63.99,4/3/18 17:49,8.32,8
53180838,43.95,4/3/18 18:14,3.96,8
53180932,35.86,4/3/18 18:16,2.33,7
53181186,14.99,4/3/18 18:33,1.08,8
53181311,59.95,4/3/18 18:50,7.79,8
53181356,34.6,4/3/18 18:48,2.15,8
53181360,43.95,4/3/18 18:39,3.96,8
53182300,51.5,4/3/18 19:34,3.29,8
53182554,39.99,4/5/18 16:16,3.96,8
53182692,34.2,4/4/18 10:44,2.12,8
53182914,81.99,4/3/18 19:57,7.38,8
53183642,67.32,4/3/18 20:26,0,8
53183774,43.54,4/3/18 20:39,4.32,16
53184327,137.75,4/3/18 21:26,12.4,8
53184853,59.98,4/3/18 21:38,2.1,0
53185284,116.5,4/3/18 21:57,9.9,4
53185702,78.31,4/3/18 22:59,7.05,8
53186713,33.18,4/4/18 7:22,1.78,8
53186720,34.99,4/4/18 0:14,10.5,8
53186893,33.65,4/4/18 0:28,3.03,8
53186898,44,4/5/18 11:52,2.08,8
53186939,168.28,4/4/18 0:37,15.15,8
53187364,141.74,4/4/18 1:27,17.13,8
53187415,19.95,4/5/18 16:28,1.35,8
53190116,34.2,4/4/18 5:28,2.12,8
53190333,14.96,4/4/18 5:47,1.94,8
53190448,57.99,4/4/18 5:59,5.22,8
53190606,29.62,4/4/18 6:21,5.63,8
53190866,79.98,4/4/18 6:45,10.4,8
53190964,95,4/4/18 6:41,12.35,8
53190978,120,4/4/18 6:48,0,8
53191034,25.11,4/4/18 6:57,1.8,8
53191470,51.5,4/4/18 9:30,3.66,8
53191803,29.97,4/4/18 7:47,8.99,8
53192084,108.91,4/4/18 8:10,20.69,8
53192450,69.99,4/4/18 8:26,2.45,0
53192526,24.3,4/4/18 8:42,0.85,8
53192545,137.75,4/4/18 8:37,12.4,8
53193060,15.95,4/4/18 9:01,1,8
53193133,92.96,4/4/18 9:06,5.19,8
53193426,54.31,4/4/18 9:25,6.17,8
53193599,29.99,4/4/18 9:35,1.78,4
53193894,95,4/4/18 9:55,12.35,8
53194096,38.94,4/4/18 10:06,4.42,8
53194368,35,4/4/18 10:33,3.15,8
53194482,38.5,4/4/18 10:45,2.56,8
53194493,13.09,4/4/18 10:35,0.5,8
53194586,8.79,4/4/18 10:37,0.79,4
53195017,66.55,4/4/18 11:08,0,8
53195310,23.85,4/4/18 11:21,3.1,8
53195634,108.47,4/4/18 13:10,0,8
53195880,27.3,4/4/18 11:55,5.19,8
53196430,47.3,4/4/18 12:32,4.26,8
53196714,48.26,4/5/18 14:58,4.34,8
53197620,35.86,4/16/18 3:22,2.33,8
53197754,360,4/4/18 13:46,0,4
53198157,43.95,4/4/18 14:06,3.96,8
53198510,34.2,4/4/18 14:26,1.97,8
53198853,88.28,4/4/18 14:46,2.74,8
53199054,90,4/4/18 15:02,13,8
53199227,284,4/4/18 15:10,0,4
53199334,119.96,4/4/18 15:31,17.09,8
53200780,13.99,4/5/18 1:11,1.26,8
