id,amount,sold_on,fvf,source_em
53995588,110.85,5/12/18 15:39,6.09,8
53996482,76.9,5/12/18 16:45,2.69,0
53997064,38.45,5/14/18 17:10,2.11,8
53997548,31.8,5/12/18 18:06,2.06,8
53997720,115.35,5/12/18 18:11,6.44,8
53998426,33.95,5/12/18 19:04,2.32,8
53999638,135.8,5/12/18 20:33,7.58,8
54004976,67.9,5/13/18 5:16,4.16,8
54005566,115.35,5/13/18 6:15,7.58,8
54005940,33.95,5/13/18 6:55,1.19,0
54006106,67.9,5/15/18 3:29,3.97,8
54006152,33.95,5/13/18 7:10,2.35,8
54007126,76.9,5/13/18 8:31,4.22,8
54007786,33.95,5/13/18 9:30,1.92,8
54007861,169.75,5/13/18 9:29,9.32,8
54008633,101.85,5/13/18 10:34,6.51,8
54008994,27.9,5/13/18 10:53,1.96,4
54010200,106.35,5/13/18 12:27,5.93,8
54011116,38.45,5/13/18 13:49,2.25,8
54011175,33.95,5/13/18 13:37,2.17,8
54011297,307.5,5/13/18 13:44,20.2,8
54011357,38.45,5/13/18 13:47,2.15,8
54011418,416.8,5/13/18 14:01,24.01,8
54011454,72.4,5/13/18 14:03,4.17,8
54012068,72.4,5/13/18 14:34,4.56,8
54013829,115.35,5/13/18 16:36,8.1,8
54014091,38.45,5/13/18 16:50,2.42,8
54014437,101.85,5/13/18 17:17,6.32,8
54015802,102.45,5/13/18 18:41,5.53,8
54016044,154.45,5/13/18 19:02,8.48,8
54018163,183.25,5/16/18 7:36,11.21,8
54020220,101.85,5/13/18 23:04,5.87,8
54021191,72.4,5/14/18 1:36,4.11,8
54022982,38.45,5/14/18 5:21,2.28,8
54024025,239.33,5/14/18 6:37,23.67,4
54024516,38.45,5/14/18 6:51,2.39,8
54026034,38.45,5/14/18 7:08,2.21,8
54026795,38.45,5/14/18 7:32,2.25,8
54026829,169.75,5/14/18 8:21,10.85,8
54026844,38.45,5/14/18 7:35,2.66,8
54027703,76.9,5/14/18 8:40,4.29,8
54028393,76.9,5/14/18 9:35,5.26,8
54028475,77.5,5/14/18 12:56,5.02,8
54028856,42.9,5/14/18 10:02,2.63,8
54029105,67.9,5/14/18 10:27,4.71,8
54029299,38.45,5/14/18 10:33,2.15,8
54029386,33.95,5/14/18 10:40,1.83,8
54029875,139.8,5/14/18 11:05,9.18,8
54030198,38.45,5/14/18 11:22,2.46,8
54033705,38.45,5/14/18 15:06,2.21,8
54034173,106.95,5/14/18 14:50,6.93,8
54034921,33.95,5/14/18 15:32,2.26,8
54035140,38.45,5/14/18 15:49,2.35,8
54036515,67.9,5/14/18 16:59,4.46,8
54037333,33.95,5/14/18 17:55,1.96,8
54037436,38.45,5/14/18 17:59,2.46,8
54037768,72.4,5/14/18 18:26,4.43,8
54037869,67.9,5/14/18 18:44,3.67,8
54037945,101.45,5/14/18 18:34,6.85,8
54038341,38.45,5/14/18 18:55,2.32,8
54038391,38.45,5/14/18 19:04,2.46,8
54038492,354.6,5/14/18 19:54,19.15,8
54038892,67.9,5/14/18 19:30,4.4,8
54039011,33.95,5/14/18 20:04,2.41,3
54039375,38.45,5/14/18 20:07,2.11,8
54040241,106.35,5/14/18 21:20,6.13,8
54042312,38.45,5/14/18 23:01,2.15,8
54044376,76.9,5/15/18 3:39,5.47,8
54044585,139.8,5/15/18 4:02,9.18,3
54044699,33.95,5/15/18 4:16,2.23,8
54045020,144.8,5/15/18 5:04,7.95,8
54045733,33.95,5/15/18 6:09,2.08,8
54046655,33.95,5/21/18 6:16,2.2,8
54046732,38.45,5/15/18 7:11,2.66,8
54047593,106.35,5/15/18 7:35,5.74,8
54048063,135.8,5/15/18 8:07,8.92,8
54049131,106.35,5/15/18 9:26,6.51,8
54049192,33.95,5/15/18 9:36,2.11,8
54049386,76.9,5/15/18 9:42,5.26,8
54049567,72.4,5/15/18 9:58,4.11,8
54049714,72.4,6/5/18 8:14,4.76,8
54050468,38.45,5/15/18 10:54,2.35,8
54050668,217.2,5/15/18 11:24,14.27,8
54051017,38.45,5/15/18 11:38,2.15,8
54051900,76.9,5/15/18 14:09,4.43,8
54052864,38.45,5/15/18 13:33,2.28,8
54053664,33.95,5/15/18 14:26,2.17,8
54054455,106.35,5/17/18 13:23,6.22,8
54054458,38.45,5/15/18 15:23,2.11,8
54054627,76.9,5/15/18 15:35,4.43,8
54054944,67.9,5/15/18 15:55,3.67,8
54056856,38.45,5/15/18 17:06,2.32,8
54057724,139.4,5/15/18 18:08,9.28,8
54058422,76.9,5/15/18 18:45,4.71,8
54059541,115.35,5/15/18 19:54,7.16,8
54059591,33.95,5/15/18 20:00,1.83,8
54059934,76.9,5/20/18 5:42,5.05,8
