seller_id,offers,amount,order_value,sum_fvf,order_fvf_value
484571,2,59.43,29.72,5.12,2.56
484857,23,1124.17,48.88,70.74,3.08
485023,2,375.00,187.50,48.75,24.38
487108,5,976.07,195.21,81.04,16.21
488938,6,182.93,30.49,16.46,2.74
489036,8,229.73,28.72,29.14,3.64
490945,4,78.62,19.66,9.15,2.29
492716,1,39.90,39.90,11.97,11.97
494749,1,10.95,10.95,0.50,0.50
496873,1,23.75,23.75,1.80,1.80
497125,2,25.33,12.67,1.96,0.98
497833,2,54.35,27.18,4.32,2.16
500523,4,950.95,237.74,29.19,7.30
501382,30,815.37,27.18,95.17,3.17
504069,6,303.49,50.58,34.94,5.82
509758,4,226.78,56.70,16.81,4.20
515618,1,68.58,68.58,5.27,5.27
516054,2,25.46,12.73,3.32,1.66
516463,1,19.99,19.99,1.80,1.80
518423,1,12.90,12.90,0.54,0.54
519473,2,38.45,19.23,1.20,0.60
520817,3,354.46,118.15,32.49,10.83
522493,3,19.97,6.66,2.08,0.69
523135,18,397.55,22.09,13.07,0.73
526363,1,12.98,12.98,0.90,0.90
527208,4,90.00,22.50,3.16,0.79
534267,4,207.85,51.96,38.00,9.50
538963,2,126.64,63.32,20.27,10.14
541975,14,548.89,39.21,32.80,2.34
541992,1,382.50,382.50,49.73,49.73
542589,1,24.99,24.99,2.25,2.25
549394,7,253.92,36.27,15.81,2.26
550717,2,145.17,72.59,12.17,6.09
553347,1,130.19,130.19,16.25,16.25
556710,2,29.71,14.86,2.14,1.07
560098,10,386.79,38.68,38.62,3.86
564080,2,99.00,49.50,5.94,2.97
565445,1,8.00,8.00,1.04,1.04
565563,1,134.59,134.59,0.00,0.00
570466,3,31.20,10.40,1.90,0.63
572285,2,178.35,89.18,31.99,16.00
572376,1,15.90,15.90,0.56,0.56
574141,28,758.63,27.09,105.60,3.77
575725,16,607.92,38.00,21.61,1.35
577724,2,70.62,35.31,3.32,1.66
577915,1,6.00,6.00,0.50,0.50
581410,41,456.24,11.13,30.64,0.75
585827,11,799.05,72.64,71.95,6.54
587188,2,23.00,11.50,1.16,0.58
587992,2,35.82,17.91,4.97,2.49
590872,2,46.19,23.10,2.34,1.17
594719,39,15865.00,406.79,2543.61,65.22
601183,1,22.10,22.10,2.42,2.42
601472,5,99.61,19.92,6.99,1.40
601697,1,100.55,100.55,0.00,0.00
602046,2,71.40,35.70,2.30,1.15
605781,1,38.00,38.00,5.28,5.28
609551,2,93.98,46.99,12.22,6.11
615091,1,31.79,31.79,4.75,4.75
616029,1,14.99,14.99,0.00,0.00
617311,2,76.25,38.13,4.64,2.32
617943,2,18.90,9.45,1.00,0.50
619467,2,19.30,9.65,2.51,1.26
623199,10,96.67,9.67,12.58,1.26
624669,1,25.00,25.00,2.25,2.25
624965,5,183.90,36.78,14.04,2.81
627050,1,5.99,5.99,0.96,0.96
639762,1,4.99,4.99,0.50,0.50
640634,1,7.00,7.00,0.91,0.91
640964,1,16.00,16.00,1.44,1.44
643290,3,104.97,34.99,5.66,1.89
645026,1,78.27,78.27,11.70,11.70
648290,2,18.89,9.45,1.53,0.77
651791,5,246.52,49.30,31.83,6.37
