id,category_id
58895759,18793
58895749,18793
58895750,18793
58895828,18793
58895868,18793
58893909,18793
58896014,18793
58895747,18793
58896021,18793
58896190,18793
58712937,18793
58896368,18793
58896248,18793
58896468,18793
58896538,18793
58896699,18793
58896662,18793
58896745,18793
58896803,18793
58896983,18793
58896994,18793
58896974,18793
58897007,18793
58896804,18793
58897137,18793
58897198,18793
58896814,18793
58897361,18793
58897450,18793
58897467,18793
58897370,18793
58897352,18793
58897526,18793
58897577,18793
58897645,18793
58897696,18793
58897708,18793
58897849,18793
58897924,18793
58898080,18793
58898212,18793
58898084,18793
58898240,18793
58898284,18793
58898067,18793
58898449,18793
58898570,18793
58898594,18793
58898635,18793
58898738,18793
58898803,18793
58898831,18793
58898859,18793
58898899,18793
58899017,18793
58899111,18793
58899159,18793
58899122,18793
58899246,18793
58899440,18793
58899506,18793
58899792,18793
58899789,18793
58521821,18793
58900260,18793
58900308,18793
58900460,18793
58900464,18793
58900787,18793
58900801,18793
58900886,18793
58901032,18793
58901097,18793
58901198,18793
58901514,18793
58901975,18793
58901975,18793
58901992,18793
58902688,18793
58902826,18793
58902826,18793
58902846,18793
58902846,18793
58902862,18793
58902862,18793
58902881,18793
58902881,18793
58902336,18793
58902720,18793
58902907,18793
58902907,18793
58902824,18793
58883141,18793
58903227,18793
58903419,18793
58903707,18793
58904012,18793
58904296,18793
58885668,18793
58904573,18793
58904713,18793
58904780,18793
58904981,18793
58904996,18793
58905087,18793
58905138,18793
58904985,18793
58905328,18793
58905295,18793
58905435,18793
58905522,18793
58905457,18793
58905679,18793
58905759,18793
58905175,18793
58905756,18793
58905891,18793
58905981,18793
58905752,18793
58906015,18793
58906063,18793
58906129,18793
58905650,18793
58906175,18793
58905995,18793
58906199,18793
58906159,18793
58906140,18793
58906094,18793
58906334,18793
58906337,18793
58906483,18793
58906446,18793
58906603,18793
58906611,18793
58906615,18793
58905852,18793
58906256,18793
58906664,18793
58906786,18793
58906848,18793
58906793,18793
58906827,18793
58906917,18793
58906864,18793
58906864,18793
58906902,18793
58906937,18793
58906984,18793
58907012,18793
58907036,18793
58907076,18793
58906800,18793
58906998,18793
58907166,18793
58907199,18793
58907213,18793
58907204,18793
58907288,18793
58907281,18793
58907287,18793
58907285,18793
58907329,18793
58907339,18793
58907455,18793
58907470,18793
58907531,18793
58905870,18793
58907556,18793
58907525,18793
58907563,18793
58907381,18793
58907549,18793
58907638,18793
58907636,18793
58907675,18793
58907692,18793
58907743,18793
58907817,18793
58907709,18793
58907758,18793
58907838,18793
58907838,18793
58907825,18793
58907877,18793
58907879,18793
58907930,18793
58907946,18793
58907955,18793
58907889,18793
58907980,18793
58907964,18793
58907750,18793
58908099,18793
58908104,18793
58907858,18793
58908156,18793
58908074,18793
58908116,18793
58908011,18793
58908288,18793
58908224,18793
58908289,18793
58781638,18793
58737765,18793
58908404,18793
58908395,18793
58908274,18793
58908372,18793
58908350,18793
58908570,18793
58908566,18793
58908669,18793
58908659,18793
58908649,18793
58908620,18793
58908706,18793
58908754,18793
58908836,18793
58908858,18793
58908920,18793
58908909,18793
58908922,18793
58908877,18793
58908981,18793
58908993,18793
