seller_id,committed,item_count,booth_id,initial_booth_activation
13238585,TRUE,1556,2413826,11/14/18 9:10
13429876,FALSE,0,2436603,12/6/18 10:07
13842820,TRUE,2,2489892,3/6/19 10:59
14125244,TRUE,8381,2524327,1/23/19 9:57
12017978,TRUE,333,2561431,1/8/19 16:58
14419086,TRUE,21,2562166,10/22/18 13:20
14611056,FALSE,0,2583307,10/20/18 14:11
14644509,TRUE,0,2587813,10/15/18 10:17
14710066,TRUE,13,2596305,2/10/19 10:30
14774475,TRUE,13,2606120,1/3/19 8:51
12525960,TRUE,0,2655469,10/24/18 17:31
15341984,TRUE,218,2664068,3/6/19 13:07
13242295,TRUE,1,2704426,2/12/19 14:56
14125423,TRUE,46,2714508,1/17/19 6:51
15998713,TRUE,518,2715741,11/12/18 22:03
16050376,TRUE,2,2722093,3/25/19 13:52
16384788,TRUE,25,2754846,3/5/19 8:24
16490385,TRUE,87,2762725,2/5/19 15:35
5787569,TRUE,1437,2763889,10/10/18 8:23
13569013,TRUE,12,2788000,10/22/18 16:06
17353007,TRUE,0,2825574,10/10/18 12:03
17439283,TRUE,4,2827189,12/16/18 16:04
15555076,TRUE,2,2839808,2/13/19 6:10
18466190,TRUE,3,2856530,2/17/19 18:10
18469432,TRUE,42,2856771,3/22/19 10:01
18719617,TRUE,836,2876715,11/9/18 5:03
18729680,TRUE,211,2877384,11/23/18 12:44
18787248,TRUE,0,2882163,10/4/18 13:53
18842826,FALSE,0,2886612,2/22/19 12:15
19047078,TRUE,1,2902734,11/26/18 11:20
19064082,TRUE,0,2904016,2/15/19 10:58
19226818,TRUE,9,2916710,11/27/18 10:03
19545361,TRUE,14,2943498,1/12/19 9:06
19577474,TRUE,115,2946243,1/16/19 7:11
19729262,TRUE,7,2958019,11/15/18 20:52
20013426,TRUE,1,2981212,12/2/18 12:14
20066435,TRUE,2,2985868,1/4/19 13:03
20480357,TRUE,665,3018312,1/12/19 16:33
20730790,TRUE,7497,3039726,10/31/18 14:07
21113131,TRUE,43,3068937,11/25/18 12:07
20450349,TRUE,1,3073569,3/26/19 11:14
21191150,TRUE,1,3073823,12/2/18 16:47
21285030,TRUE,254,3080192,2/23/19 5:16
21398754,TRUE,2,3088049,10/23/18 7:26
21411139,TRUE,1,3088926,1/20/19 6:37
21483126,TRUE,0,3093942,10/6/18 14:28
21025591,TRUE,0,3094298,10/31/18 11:30
21496084,TRUE,6,3094785,2/8/19 17:18
21533462,TRUE,0,3097591,3/4/19 6:03
21665372,FALSE,0,3108818,10/14/18 12:43
21679381,TRUE,0,3109972,3/27/19 20:08
21684540,TRUE,8,3110340,1/29/19 16:44
21772742,FALSE,0,3117818,10/2/18 22:19
18500439,TRUE,0,3123109,3/27/19 21:42
21853543,TRUE,0,3124689,10/10/18 9:40
21890288,TRUE,3,3127892,1/6/19 12:17
21900219,TRUE,371,3128944,10/11/18 7:31
21912883,TRUE,1,3131422,10/11/18 9:52
22031047,TRUE,44,3138608,3/28/19 6:45
22116902,TRUE,13,3145923,1/19/19 11:55
22197768,TRUE,200,3152721,10/29/18 11:43
22283185,TRUE,1659,3160286,4/1/19 14:17
22356149,TRUE,0,3165615,11/1/18 18:59
22434316,TRUE,0,3171246,10/30/18 16:09
22463837,TRUE,8,3173724,10/13/18 19:43
22696230,TRUE,64,3193273,2/2/19 23:23
22714536,TRUE,0,3195055,1/24/19 19:47
22741331,TRUE,0,3197488,3/28/19 13:33
15778551,FALSE,0,3204310,3/12/19 9:24
22873199,TRUE,43,3209391,1/18/19 13:52
22926375,TRUE,0,3213328,10/6/18 18:28
22950288,TRUE,0,3215510,10/15/18 17:00
16529915,TRUE,0,3226682,10/30/18 10:52
23161517,TRUE,0,3235681,1/21/19 11:28
23197487,TRUE,26,3239565,3/25/19 15:55
23339608,TRUE,0,3255075,11/6/18 20:47
