id,sold_on,purchased_at
60885315,4/16/19 4:57,
60885550,4/16/19 4:58,4/16/19 11:21
60885625,4/16/19 5:02,4/16/19 8:34
60885674,4/16/19 5:07,
60885800,4/16/19 5:27,4/16/19 19:31
60882133,4/16/19 5:41,4/16/19 5:50
60873976,4/16/19 5:42,4/18/19 5:55
60886215,4/16/19 6:00,4/17/19 11:06
60886383,4/16/19 6:12,4/16/19 11:04
60886406,4/16/19 6:19,4/16/19 8:42
60886513,4/16/19 6:24,4/16/19 8:46
60871378,4/16/19 6:25,
60886586,4/16/19 6:32,4/17/19 13:09
60886719,4/16/19 6:43,
60886587,4/16/19 6:49,4/16/19 12:17
60886922,4/16/19 6:57,4/17/19 3:39
60886925,4/16/19 6:59,4/17/19 6:57
60828464,4/16/19 7:01,4/16/19 11:49
60886933,4/16/19 7:02,4/18/19 7:43
60886958,4/16/19 7:04,4/17/19 3:49
60886957,4/16/19 7:05,
60887183,4/16/19 7:20,4/16/19 10:20
60887060,4/16/19 7:21,4/16/19 8:51
60886468,4/16/19 7:29,
60887169,4/16/19 7:31,
60887320,4/16/19 7:34,4/16/19 19:50
60887406,4/16/19 7:39,4/19/19 12:20
60887405,4/16/19 7:41,
60887513,4/16/19 7:51,4/16/19 8:34
60887550,4/16/19 7:55,4/16/19 8:11
60887595,4/16/19 7:59,4/16/19 15:28
60887655,4/16/19 8:02,4/17/19 6:59
60887645,4/16/19 8:03,4/16/19 12:16
60887656,4/16/19 8:05,
60887725,4/16/19 8:07,
60799196,4/16/19 8:12,4/18/19 13:04
60887754,4/16/19 8:16,4/16/19 20:43
60887759,4/16/19 8:16,
60887722,4/16/19 8:17,4/16/19 16:13
60886180,4/16/19 8:18,
60887825,4/16/19 8:21,4/16/19 11:08
60887920,4/16/19 8:23,
60887940,4/16/19 8:23,
60887737,4/16/19 8:24,4/16/19 9:00
60887957,4/16/19 8:27,4/16/19 15:24
60888132,4/16/19 8:38,
60888132,4/16/19 8:38,
60888132,4/16/19 8:38,
60888132,4/16/19 8:38,
60887383,4/16/19 8:40,4/18/19 5:52
60888146,4/16/19 8:41,
60872867,4/16/19 8:42,4/16/19 8:58
60888313,4/16/19 8:52,
60888387,4/16/19 8:56,4/17/19 4:10
60888393,4/16/19 9:01,4/16/19 22:58
60888566,4/16/19 9:08,4/16/19 10:17
60887999,4/16/19 9:08,4/17/19 7:03
60888589,4/16/19 9:12,4/17/19 5:19
60888527,4/16/19 9:14,
60888637,4/16/19 9:15,
60888701,4/16/19 9:17,4/18/19 9:57
60888648,4/16/19 9:18,4/18/19 13:41
60888702,4/16/19 9:19,4/17/19 6:20
60888680,4/16/19 9:21,4/16/19 13:02
60888802,4/16/19 9:33,4/16/19 9:39
60888646,4/16/19 9:34,4/17/19 4:12
60875138,4/16/19 9:41,4/17/19 17:05
60888797,4/16/19 9:55,4/17/19 17:45
60889208,4/16/19 9:56,4/17/19 8:06
60876990,4/16/19 10:03,
60889419,4/16/19 10:14,4/24/19 7:43
60863524,4/16/19 10:15,4/17/19 9:06
60889442,4/16/19 10:18,
60889531,4/16/19 10:20,4/17/19 3:51
60888794,4/16/19 10:22,
60889675,4/16/19 10:31,4/18/19 8:15
60889722,4/16/19 10:33,4/22/19 8:43
60889614,4/16/19 10:35,4/16/19 14:29
60889860,4/16/19 10:45,4/16/19 14:15
60889837,4/16/19 10:46,
60889907,4/16/19 10:47,
60890017,4/16/19 10:56,4/16/19 11:31
60888038,4/16/19 10:59,4/16/19 12:28
60890035,4/16/19 11:00,4/16/19 20:14
60890098,4/16/19 11:03,4/16/19 12:03
60853983,4/16/19 11:06,
60890058,4/16/19 11:07,4/23/19 9:18
60890123,4/16/19 11:09,
60890290,4/16/19 11:17,4/17/19 4:06
60890210,4/16/19 11:22,
60876177,4/16/19 11:23,4/17/19 4:14
60890285,4/16/19 11:24,4/17/19 17:29
60890391,4/16/19 11:36,4/16/19 14:49
60882550,4/16/19 11:37,4/17/19 4:06
60890582,4/16/19 11:39,
60890598,4/16/19 11:42,4/22/19 7:24
60890657,4/16/19 11:44,4/16/19 21:59
60890692,4/16/19 11:48,4/24/19 10:52
60890570,4/16/19 11:49,4/22/19 9:31
60890487,4/16/19 11:52,4/17/19 7:07
60890694,4/16/19 11:52,4/17/19 6:32
60890804,4/16/19 12:00,4/17/19 8:11
60890778,4/16/19 12:02,
60890846,4/16/19 12:03,4/18/19 7:54
60890973,4/16/19 12:14,
60890967,4/16/19 12:15,4/16/19 13:04
60891127,4/16/19 12:33,4/16/19 12:36
60891063,4/16/19 12:38,4/17/19 9:35
60891284,4/16/19 12:39,
60891284,4/16/19 12:39,
60891284,4/16/19 12:39,
60889029,4/16/19 12:39,4/16/19 13:23
60891303,4/16/19 12:40,
60891154,4/16/19 12:42,4/16/19 21:41
60891216,4/16/19 12:42,4/18/19 12:21
60891347,4/16/19 12:53,4/16/19 14:39
60891427,4/16/19 12:55,4/16/19 20:10
60891480,4/16/19 12:57,4/22/19 9:54
60891062,4/16/19 13:03,
60891642,4/16/19 13:10,
60891583,4/16/19 13:13,4/17/19 19:00
60891330,4/16/19 13:13,
60891822,4/16/19 13:29,4/17/19 16:52
60891794,4/16/19 13:29,
60891905,4/16/19 13:30,4/17/19 3:53
60891985,4/16/19 13:38,4/24/19 8:25
60892005,4/16/19 13:38,4/16/19 15:26
60891212,4/16/19 13:44,
60892114,4/16/19 13:50,4/17/19 7:08
60877802,4/16/19 13:52,4/16/19 14:54
60892304,4/16/19 13:58,4/18/19 11:24
60892263,4/16/19 13:59,4/17/19 15:44
60892173,4/16/19 14:03,4/16/19 15:08
60892383,4/16/19 14:06,
60892395,4/16/19 14:08,
60892407,4/16/19 14:11,
60892488,4/16/19 14:14,4/22/19 8:56
60892494,4/16/19 14:15,
60892512,4/16/19 14:15,4/17/19 10:36
60892536,4/16/19 14:15,
60892471,4/16/19 14:16,
60891852,4/16/19 14:17,
60892646,4/16/19 14:24,4/16/19 21:54
60892707,4/16/19 14:31,4/17/19 11:31
60892699,4/16/19 14:31,
60892563,4/16/19 14:32,4/16/19 20:40
60892742,4/16/19 14:36,4/17/19 10:32
60892796,4/16/19 14:37,
60892795,4/16/19 14:40,4/17/19 8:47
60892869,4/16/19 14:46,4/17/19 12:30
60892849,4/16/19 14:47,4/16/19 18:50
60892918,4/16/19 14:49,4/17/19 11:08
60892963,4/16/19 14:52,4/17/19 3:55
60893063,4/16/19 14:57,4/16/19 19:32
60892916,4/16/19 14:58,4/16/19 21:45
60893164,4/16/19 15:05,4/17/19 8:16
60893195,4/16/19 15:09,
60893256,4/16/19 15:16,4/16/19 16:16
60892150,4/16/19 15:18,4/17/19 3:37
60877585,4/16/19 15:21,4/17/19 11:11
60893305,4/16/19 15:23,4/17/19 5:16
60893432,4/16/19 15:28,4/17/19 10:45
60893446,4/16/19 15:28,
60893502,4/16/19 15:29,
60893574,4/16/19 15:38,4/16/19 19:22
60893152,4/16/19 15:45,4/17/19 5:23
60893567,4/16/19 15:46,4/17/19 7:14
60893623,4/16/19 15:47,4/18/19 13:01
60893549,4/16/19 15:54,
60893742,4/16/19 15:55,
60893887,4/16/19 16:04,4/17/19 7:16
60893986,4/16/19 16:14,4/17/19 9:23
60894049,4/16/19 16:17,4/17/19 4:27
60894119,4/16/19 16:19,4/16/19 21:51
60894182,4/16/19 16:24,4/17/19 11:13
60835114,4/16/19 16:26,
60894226,4/16/19 16:28,4/17/19 12:59
60894058,4/16/19 16:28,4/17/19 8:48
60894209,4/16/19 16:29,4/17/19 8:21
60894296,4/16/19 16:34,
60889266,4/16/19 16:36,4/17/19 5:58
60894377,4/16/19 16:44,4/24/19 9:12
60894188,4/16/19 16:45,4/17/19 10:13
60894384,4/16/19 16:45,
60894427,4/16/19 16:45,4/18/19 9:55
60894373,4/16/19 16:45,
60894652,4/16/19 16:55,4/17/19 16:55
60894775,4/16/19 17:03,
60894719,4/16/19 17:04,4/17/19 5:53
60889589,4/16/19 17:05,
60894700,4/16/19 17:16,4/17/19 7:17
60894824,4/16/19 17:25,4/16/19 20:09
60895246,4/16/19 17:38,
60895367,4/16/19 17:47,4/16/19 17:52
60895425,4/16/19 17:52,4/18/19 17:22
60895253,4/16/19 17:59,4/22/19 14:44
60895595,4/16/19 18:06,4/17/19 11:14
60895627,4/16/19 18:06,4/18/19 10:29
60895605,4/16/19 18:06,
60895605,4/16/19 18:06,
60895605,4/16/19 18:06,
60895605,4/16/19 18:06,
60895655,4/16/19 18:09,4/17/19 11:17
60895699,4/16/19 18:10,
60895849,4/16/19 18:21,4/17/19 6:46
60895802,4/16/19 18:22,4/17/19 10:58
60895922,4/16/19 18:26,4/18/19 10:17
60896032,4/16/19 18:31,4/17/19 9:09
60896138,4/16/19 18:43,
60896114,4/16/19 18:44,4/26/19 14:04
60895369,4/16/19 18:47,4/17/19 9:06
60896491,4/16/19 18:56,4/18/19 9:29
60896501,4/16/19 18:58,4/22/19 9:56
60896533,4/16/19 18:59,4/19/19 13:43
60896569,4/16/19 19:00,
60896281,4/16/19 19:01,4/19/19 11:03
60896419,4/16/19 19:02,4/18/19 5:37
60896617,4/16/19 19:04,4/17/19 6:45
60896624,4/16/19 19:10,
60896723,4/16/19 19:13,4/18/19 8:03
60896919,4/16/19 19:26,
60896744,4/16/19 19:28,
60897020,4/16/19 19:32,4/17/19 3:56
