offer_id,rating_em,date(user_feedbacks.created_at),item_id,category_id,price
59979150,5,2019-03-27,691821339,1345,39
59979372,5,2019-03-27,691946121,134792,53.35
59980244,4,2019-03-27,691846352,92868,98.99
59980713,5,2019-03-04,690420430,19270,139.15
59980874,5,2019-03-31,693403544,147285,16.99
59982032,5,2019-03-29,692307843,3768,9.99
59983452,5,2019-04-06,615488017,39571,97.51
59983505,5,2019-03-28,692228380,2993,69.99
59986968,5,2019-03-31,692520372,6030,8.32
59986988,5,2019-03-11,692599490,19270,50
59988462,1,2019-03-28,692355078,15690,49.99
59988952,1,2019-04-01,693699504,79720,124.99
59989812,5,2019-03-27,533341227,63862,136.32
59990896,5,2019-03-05,692647788,3768,11.9
59991974,5,2019-03-13,692282887,63852,448
59992437,5,2019-03-31,692305367,57988,159.99
59993447,5,2019-03-23,691959877,206,2.96
59993594,5,2019-03-27,691761485,139962,19.99
59995747,5,2019-04-07,695616390,175521,18.95
59997383,1,2019-03-26,693698864,41511,6
59997579,5,2019-04-24,701775128,28133,5.59
59997806,5,2019-03-29,696361651,19270,210
59998119,5,2019-03-17,696408484,19270,171.77
59998536,5,2019-03-27,691939033,19270,45.99
59999042,5,2019-03-27,684278192,21205,12.29
59999683,5,2019-03-30,663655915,102514,89.99
60000090,1,2019-04-06,692117302,166736,1.49
60000320,5,2019-03-25,513622785,19270,
60000632,5,2019-04-08,693975787,205,29.99
60002090,5,2019-03-13,692335777,102514,25
60002295,4,2019-03-27,692109138,137856,181.53
60002401,1,2019-03-25,691859022,159049,58.66
60002559,5,2019-03-18,675754795,19270,27.99
60002599,5,2019-03-04,692171925,31804,9.95
60003055,1,2019-03-04,691748119,9355,60
60003758,5,2019-03-04,691736686,3768,8.99
60003809,1,2019-03-27,691747659,31774,29.51
60004021,5,2019-03-13,693668475,102514,40
60004031,5,2019-03-08,691746837,102514,55
60004045,1,2019-03-14,691746984,31510,37.39
60004128,5,2019-03-27,691748439,159049,58.66
60004129,5,2019-03-11,685137722,102514,199
60004478,1,2019-03-05,691761394,3768,17.9
60004948,5,2019-03-04,677908852,20473,23
60004978,5,2019-03-11,691762831,38173,29.97
60005057,5,2019-03-06,691761933,20749,36.9
60005328,5,2019-03-28,691766177,1466,15
60005368,5,2019-03-27,691769357,20651,6.79
60005488,5,2019-03-27,691772863,999010,19.99
60005748,5,2019-03-27,691785593,29509,19.49
60005782,5,2019-03-30,691785027,79720,250
60005889,5,2019-03-27,691790162,156413,20
60005898,5,2019-03-27,687770591,36252,25
60005977,5,2019-03-29,688768043,617,25.95
60006001,1,2019-03-11,670688766,33713,14.83
60006142,5,2019-04-01,693663910,3768,11.48
60006204,5,2019-03-27,691800942,98624,25.11
60006205,1,2019-03-29,663986309,11848,29.99
60006247,5,2019-04-06,695420375,15709,100
60006320,5,2019-03-27,691805615,19262,26
60006421,5,2019-03-05,691810898,105559,10.99
60006490,5,2019-03-11,644921091,1523,1313
60006592,5,2019-03-27,691817101,11226,28.99
60006593,5,2019-03-27,689832770,67670,18.8
60006649,5,2019-03-27,467484693,176983,7.99
60006758,5,2019-03-27,438698671,42337,12.3
60006797,5,2019-03-25,691932961,170083,23.75
60006897,5,2019-03-06,688069179,102514,
60006979,5,2019-03-28,691829913,11226,7.7
60007065,5,2019-03-27,691832808,47324,6.49
60007167,1,2019-03-27,691839547,11776,25.16
60007179,5,2019-03-27,691835350,1277,18.99
60007215,5,2019-03-27,691838224,28009,19
60007232,4,2019-03-21,692791698,3768,10
60007234,5,2019-03-27,691836496,139973,4.95
60007306,1,2019-03-28,691842100,31804,16.98
60007433,5,2019-03-26,691844945,1277,52.99
60007454,5,2019-03-27,688754956,31387,40
60007473,5,2019-03-27,691844599,82596,12.82
60007569,5,2019-03-27,691847015,1277,81.99
60007587,5,2019-03-27,691846912,3768,95
60007628,5,2019-03-01,691850576,999010,5.99
60007710,5,2019-03-27,677149220,473,14.36
60007753,5,2019-03-09,691851451,11226,6.49
60008005,5,2019-03-30,671439283,61312,8.86
60008011,5,2019-03-27,370435259,139971,31.99
60008035,5,2019-03-27,691866560,1345,80.3
60008162,5,2019-04-03,691864111,3768,13.9
60008191,5,2019-03-27,691865901,11226,9.99
60008233,5,2019-03-31,691867415,11226,26.5
60008416,5,2019-03-27,691876569,75037,39.9
60008463,5,2019-03-27,691919794,20403,32.95
60008486,4,2019-03-27,691874578,86647,8.39
60008603,5,2019-04-11,113185791,19270,999.95
60008637,5,2019-03-22,691879314,3768,22.99
60008640,5,2019-03-27,691879765,999010,19.99
60008735,5,2019-03-27,691883970,11226,16.99
60008749,5,2019-03-16,693543214,20563,47.55
60008763,4,2019-03-27,691886317,155193,21
60008783,5,2019-03-27,691890135,31387,248.99
60008805,5,2019-03-27,203695007,31802,10.99
60008811,4,2019-03-27,691887796,53120,169.99
60008831,5,2019-03-27,691890572,42614,116.1
60008874,4,2019-03-27,691891717,20651,6.79
60008967,5,2019-03-04,690613885,38172,215.06
60009221,5,2019-03-12,691901695,72759,14.98
60009277,3,2019-03-27,691916707,53557,19.79
60009323,5,2019-03-27,691902884,19270,99.99
60009339,5,2019-03-27,691901749,11232,36.99
60009449,1,2019-03-27,691904567,15687,23.99
60009473,5,2019-03-27,691909436,46782,17.81
60009572,5,2019-04-07,691905335,48705,33.65
60009580,5,2019-03-14,691426838,2228,399.99
