seller_id,committed,item_count,booth_id,initial_booth_activation,entry_source_em,inventory_source_em,parent_booth_id,entry_url,entry_query,fees_paid,membership_paid,profit_estimate,value_em
36401555,TRUE,2,4740045,12/16/18,organic,1,,https://www.google.com/,,0,0,0,0
36402191,TRUE,2,4740068,12/18/18,organic,1,,https://www.google.com/,,0,0,0,0
36402262,TRUE,0,4740074,12/16/18,unknown,,,,,0,0,0,0
36402260,TRUE,0,4740082,12/16/18,organic,,,https://www.google.com.vn/,,0,0,0,0
36402395,FALSE,0,4740091,12/16/18,direct,,,Direct,,0,0,0,0
36402367,TRUE,4,4740102,12/16/18,direct,,,Direct,,0,0,0,0
36402594,TRUE,5,4740127,12/16/18,direct,1,,Direct,,0,0,0,0
36402956,TRUE,6933,4740181,12/16/18,unknown,3,,,,4.17,0,3.93,0
36403657,TRUE,30,4740263,12/16/18,direct,,,Direct,,0,0,0,0
36403635,TRUE,0,4740266,12/16/18,other,4,,https://apps.cedcommerce.com/marketplace-integration/bonanza/bonanza-install/index,,0,0,-0.04,0
36403739,TRUE,3,4740271,12/16/18,organic,,,https://www.google.com/,,0,0,0,0
36403846,TRUE,0,4740279,12/16/18,organic,,,https://www.google.com/,,0,0,0,0
36403856,TRUE,101,4740285,12/16/18,unknown,1,,,,0,0,-0.04,0
36403979,TRUE,0,4740299,12/16/18,direct,5,,Direct,,0,0,0,0
36272377,TRUE,7,4740313,12/28/18,unknown,1,,,,0,0,-0.05,0
36404481,FALSE,0,4740343,12/16/18,organic,,,https://www.google.com/,,0,0,0,0
36404535,TRUE,3,4740350,12/16/18,direct,1,,https://www.thebalancesmb.com/best-online-places-to-sell-stuff-4140754,,0,0,0,0
36404272,TRUE,0,4740363,12/16/18,unknown,1,,,,0,0,0,0
36404893,TRUE,6,4740391,12/16/18,google_text_ad,,,https://www.google.com/,,0,0,0,0
36404914,FALSE,0,4740393,12/16/18,organic,3,,https://www.google.com/,,0,0,-1.44,0
36404298,TRUE,0,4740397,12/16/18,email,1,,http://r.srvtrck.com/v2/go?t=6t8pb%3A7%2F9w5.9aci7g7.foc%2F2%2F3%2Fa6d6-480986036149c3abs4c41cs1b6d7v4314308000070302%3D6ifu0%262%3D0rdfc%3Fe%2F98e1c42%2Ff180a022fpam3m1c4s3n9v8s0wawd%2Fcsbt2h&s=http%3A%2F%2Fyoinsider.net%2Fproduct%2Fspinrite-books-bernat,,0,0,0,0
36405012,FALSE,0,4740408,12/16/18,unknown,,,,,0,0,0,0
36405388,TRUE,0,4740436,12/16/18,organic,,,https://www.google.com/,,0,0,0,0
36405429,TRUE,384,4740440,12/16/18,direct,1,,Direct,,80.17,0,29.79,1
36405504,TRUE,1,4740446,12/16/18,unknown,,,,,0,0,0,0
36405693,TRUE,0,4740468,12/16/18,affiliate,,,Direct,,0,0,0,0
36405968,FALSE,0,4740481,12/16/18,unknown,1,,,,49.26,0,33.34,1
36405941,TRUE,0,4740485,12/16/18,google_text_ad,,,https://www.google.com/,,0,0,0,0
36406096,TRUE,0,4740521,12/16/18,google_shopping,6,,Direct,,0,0,-1.17,0
36406706,TRUE,8,4740560,12/16/18,direct,,,Direct,,0,0,0,0
36407021,TRUE,2,4740598,12/16/18,unknown,,,,,0,0,0,0
36345746,TRUE,1,4740659,12/16/18,bing,1,,https://www.google.com/,,0,0,-0.27,0
36407603,TRUE,2,4740663,12/16/18,unknown,6,,,,0,0,-0.05,0
36407608,TRUE,0,4740665,12/17/18,search_seller_targeted,,,https://www.google.com/,,0,0,-5.99,0
36407908,TRUE,0,4740697,12/17/18,other_search,1,,https://r.search.yahoo.com/_ylt=AwrEzeoimRZcSNIA5ghx.9w4;_ylu=X3oDMTByOHZyb21tBGNvbG8DYmYxBHBvcwMxBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1545013666/RO=10/RU=https%3a%2f%2fwww.bonanza.com%2f/RK=2/RS=Ah.LjwR5kLx5gP3uOmaWkLmHQAk-,,0,0,-0.05,0
36407934,TRUE,0,4740701,12/16/18,direct,,,Direct,,0,0,0,0
36407939,TRUE,117,4740720,12/17/18,unknown,,,,,0,0,-0.04,0
36408064,TRUE,0,4740722,1/10/19,search_seller_targeted,,,https://www.google.com/,,0,0,0,0
36408155,FALSE,0,4740741,12/16/18,unknown,1,,,,0,40,39.96,0
36408223,TRUE,1,4740742,12/16/18,unknown,,,,,0,0,0,0
